driver,month,n_bugs,n_files,n_lines
GODRIVER,2019-10,1,76,8022
GODRIVER,2019-11,0,76,8022
GODRIVER,2019-12,1,76,8022
GODRIVER,2020-01,1,76,8022
GODRIVER,2020-02,0,98,10301
GODRIVER,2020-03,1,134,14025
GODRIVER,2020-04,1,134,14025
GODRIVER,2020-05,0,154,15669
GODRIVER,2020-06,0,158,15834
GODRIVER,2020-07,1,172,17247
GODRIVER,2020-08,1,172,17247
GODRIVER,2020-09,0,172,17247
GODRIVER,2020-10,0,172,17247
GODRIVER,2020-11,1,172,17247
GODRIVER,2020-12,0,172,17247
GODRIVER,2021-01,0,172,17247
GODRIVER,2021-02,0,174,18062
GODRIVER,2021-03,0,174,18062
GODRIVER,2021-04,0,174,18062
GODRIVER,2021-05,0,174,18062
GODRIVER,2021-06,0,202,30634
GODRIVER,2021-07,0,202,30677
GODRIVER,2021-08,0,202,30677
GODRIVER,2021-09,0,206,31837
GODRIVER,2021-10,0,206,31849
GODRIVER,2021-11,0,206,31849
GODRIVER,2021-12,0,206,31849
GODRIVER,2022-01,0,224,34296
GODRIVER,2022-02,0,224,34296
GODRIVER,2022-03,0,234,35825
GODRIVER,2022-04,0,236,36072
GODRIVER,2022-05,0,264,41384
GODRIVER,2022-06,0,266,41652
GODRIVER,2022-07,0,266,41652
GODRIVER,2022-08,0,266,41652
GODRIVER,2022-09,0,266,41652
GODRIVER,2022-10,0,278,42472
GODRIVER,2022-11,0,278,42472
GODRIVER,2022-12,1,278,42472
GODRIVER,2023-01,0,278,42472
GODRIVER,2023-02,0,278,42472
GODRIVER,2023-03,0,278,42472
GODRIVER,2023-04,0,278,42472
GODRIVER,2023-05,0,278,42472
GODRIVER,2023-06,0,278,42472
GODRIVER,2023-07,0,278,42491
GODRIVER,2023-08,0,278,42491
GODRIVER,2023-09,0,278,42491
GODRIVER,2023-10,0,278,42491
GODRIVER,2023-11,0,278,42491
GODRIVER,2023-12,0,278,42487
GODRIVER,2024-01,0,278,42487
GODRIVER,2024-02,0,278,42491
GODRIVER,2024-03,0,278,42487
GODRIVER,2024-04,0,278,42487
GODRIVER,2024-05,0,278,42491
GODRIVER,2024-06,0,278,42491
GODRIVER,2024-07,0,278,42495
GODRIVER,2024-08,0,278,42495
GODRIVER,2024-09,0,278,42495
GODRIVER,2024-10,0,278,42495
GODRIVER,2024-11,0,280,42696
GODRIVER,2024-12,0,288,44020
GODRIVER,2025-01,0,310,51160
GODRIVER,2025-02,0,314,51632
GODRIVER,2025-03,0,314,51632
GODRIVER,2025-04,0,314,51632
GODRIVER,2025-05,0,164,17144
GODRIVER,2025-06,0,164,17144
GODRIVER,2025-07,0,278,42495
GODRIVER,2025-08,0,190,18804
GODRIVER,2025-09,0,189,18682
GODRIVER,2025-10,0,278,42495
GODRIVER,2025-11,0,189,18682
GODRIVER,2025-12,0,189,18682
GODRIVER,2026-01,0,189,18682
GODRIVER,2026-02,0,189,18682
GODRIVER,2026-03,0,189,18682
JAVA,2009-04,0,0,0
JAVA,2009-05,0,0,0
JAVA,2009-06,0,0,0
JAVA,2009-07,0,0,0
JAVA,2009-08,0,0,0
JAVA,2009-09,0,0,0
JAVA,2009-10,0,0,0
JAVA,2009-11,0,0,0
JAVA,2009-12,0,0,0
JAVA,2010-01,0,0,0
JAVA,2010-02,0,0,0
JAVA,2010-03,0,0,0
JAVA,2010-04,0,0,0
JAVA,2010-05,0,0,0
JAVA,2010-06,0,0,0
JAVA,2010-07,0,0,0
JAVA,2010-08,1,0,0
JAVA,2010-09,0,0,0
JAVA,2010-10,0,0,0
JAVA,2010-11,0,0,0
JAVA,2010-12,0,0,0
JAVA,2011-01,0,0,0
JAVA,2011-02,0,0,0
JAVA,2011-03,0,0,0
JAVA,2011-04,0,0,0
JAVA,2011-05,0,0,0
JAVA,2011-06,0,0,0
JAVA,2011-07,0,0,0
JAVA,2011-08,0,0,0
JAVA,2011-09,0,0,0
JAVA,2011-10,0,0,0
JAVA,2011-11,0,0,0
JAVA,2011-12,0,0,0
JAVA,2012-01,0,0,0
JAVA,2012-02,0,0,0
JAVA,2012-03,0,0,0
JAVA,2012-04,0,0,0
JAVA,2012-05,0,0,0
JAVA,2012-06,0,0,0
JAVA,2012-07,0,0,0
JAVA,2012-08,0,0,0
JAVA,2012-09,0,0,0
JAVA,2012-10,0,0,0
JAVA,2012-11,0,0,0
JAVA,2012-12,0,0,0
JAVA,2013-01,0,0,0
JAVA,2013-02,0,0,0
JAVA,2013-03,0,0,0
JAVA,2013-04,0,0,0
JAVA,2013-05,0,0,0
JAVA,2013-06,0,0,0
JAVA,2013-07,0,0,0
JAVA,2013-08,0,0,0
JAVA,2013-09,0,0,0
JAVA,2013-10,0,0,0
JAVA,2013-11,0,0,0
JAVA,2013-12,0,0,0
JAVA,2014-01,0,0,0
JAVA,2014-02,0,0,0
JAVA,2014-03,1,0,0
JAVA,2014-04,2,0,0
JAVA,2014-05,0,0,0
JAVA,2014-06,1,0,0
JAVA,2014-07,0,0,0
JAVA,2014-08,0,0,0
JAVA,2014-09,0,0,0
JAVA,2014-10,0,0,0
JAVA,2014-11,1,0,0
JAVA,2014-12,0,0,0
JAVA,2015-01,0,0,0
JAVA,2015-02,0,0,0
JAVA,2015-03,0,14,2001
JAVA,2015-04,1,14,2001
JAVA,2015-05,1,14,2001
JAVA,2015-06,0,14,2001
JAVA,2015-07,0,14,2001
JAVA,2015-08,0,14,2001
JAVA,2015-09,0,14,2001
JAVA,2015-10,0,14,2001
JAVA,2015-11,0,14,2001
JAVA,2015-12,1,14,2001
JAVA,2016-01,0,14,2001
JAVA,2016-02,1,14,2001
JAVA,2016-03,0,14,2001
JAVA,2016-04,0,14,2001
JAVA,2016-05,0,14,2001
JAVA,2016-06,0,14,2001
JAVA,2016-07,0,14,2001
JAVA,2016-08,0,14,2001
JAVA,2016-09,0,14,2001
JAVA,2016-10,0,14,2001
JAVA,2016-11,0,29,2738
JAVA,2016-12,0,29,2738
JAVA,2017-01,0,29,2738
JAVA,2017-02,0,29,2738
JAVA,2017-03,0,33,3514
JAVA,2017-04,0,33,3514
JAVA,2017-05,0,33,3514
JAVA,2017-06,0,33,3514
JAVA,2017-07,0,33,3514
JAVA,2017-08,0,33,3514
JAVA,2017-09,0,33,3514
JAVA,2017-10,0,32,3611
JAVA,2017-11,0,32,3611
JAVA,2017-12,0,32,3662
JAVA,2018-01,0,32,3662
JAVA,2018-02,0,32,3662
JAVA,2018-03,0,32,3662
JAVA,2018-04,0,32,3662
JAVA,2018-05,0,32,3662
JAVA,2018-06,0,32,3732
JAVA,2018-07,0,32,3732
JAVA,2018-08,0,33,3780
JAVA,2018-09,0,33,3780
JAVA,2018-10,0,35,4894
JAVA,2018-11,0,35,4894
JAVA,2018-12,0,35,4894
JAVA,2019-01,0,36,5043
JAVA,2019-02,0,36,5043
JAVA,2019-03,0,36,5043
JAVA,2019-04,0,36,5043
JAVA,2019-05,0,36,5043
JAVA,2019-06,0,36,5043
JAVA,2019-07,0,40,6113
JAVA,2019-08,1,40,6113
JAVA,2019-09,0,40,6113
JAVA,2019-10,0,40,6282
JAVA,2019-11,0,40,6282
JAVA,2019-12,0,40,6282
JAVA,2020-01,0,40,6282
JAVA,2020-02,0,50,7884
JAVA,2020-03,0,50,7884
JAVA,2020-04,0,88,13152
JAVA,2020-05,0,77,11528
JAVA,2020-06,0,80,11707
JAVA,2020-07,0,86,12338
JAVA,2020-08,0,86,12338
JAVA,2020-09,0,86,12338
JAVA,2020-10,0,86,12338
JAVA,2020-11,0,86,12338
JAVA,2020-12,0,86,12338
JAVA,2021-01,0,86,12338
JAVA,2021-02,0,87,12900
JAVA,2021-03,0,87,12900
JAVA,2021-04,0,87,12900
JAVA,2021-05,0,89,15677
JAVA,2021-06,0,101,21114
JAVA,2021-07,0,101,21149
JAVA,2021-08,0,101,21149
JAVA,2021-09,0,101,21149
JAVA,2021-10,0,103,22055
JAVA,2021-11,0,103,22055
JAVA,2021-12,0,106,23912
JAVA,2022-01,1,106,23912
JAVA,2022-02,0,106,23912
JAVA,2022-03,0,132,30349
JAVA,2022-04,0,133,30627
JAVA,2022-05,0,135,30800
JAVA,2022-06,0,135,30800
JAVA,2022-07,0,136,30978
JAVA,2022-08,0,136,30978
JAVA,2022-09,0,136,30978
JAVA,2022-10,0,136,30978
JAVA,2022-11,0,142,31539
JAVA,2022-12,0,142,31539
JAVA,2023-01,0,142,31539
JAVA,2023-02,0,142,31539
JAVA,2023-03,0,142,31539
JAVA,2023-04,0,142,31539
JAVA,2023-05,0,142,31539
JAVA,2023-06,0,142,31539
JAVA,2023-07,0,142,31539
JAVA,2023-08,0,142,31539
JAVA,2023-09,0,142,31539
JAVA,2023-10,0,142,31539
JAVA,2023-11,0,142,31539
JAVA,2023-12,0,142,31539
JAVA,2024-01,0,142,31539
JAVA,2024-02,0,142,31539
JAVA,2024-03,0,139,32864
JAVA,2024-04,0,139,32864
JAVA,2024-05,0,139,32864
JAVA,2024-06,0,139,32864
JAVA,2024-07,0,139,32864
JAVA,2024-08,1,139,32864
JAVA,2024-09,0,139,32864
JAVA,2024-10,0,143,33710
JAVA,2024-11,0,143,33710
JAVA,2024-12,0,144,33849
JAVA,2025-01,0,155,38817
JAVA,2025-02,0,157,39147
JAVA,2025-03,0,157,39209
JAVA,2025-04,0,164,17144
JAVA,2025-05,0,164,17144
JAVA,2025-06,0,164,17144
JAVA,2025-07,0,189,18682
JAVA,2025-08,0,190,18804
JAVA,2025-09,0,189,18682
JAVA,2025-10,0,189,18682
JAVA,2025-11,0,189,18682
JAVA,2025-12,0,189,18682
JAVA,2026-01,0,189,18682
JAVA,2026-02,0,189,18682
JAVA,2026-03,0,189,18682
JAVA,2026-04,0,189,18682
NODE,2012-10,0,0,0
NODE,2012-11,0,0,0
NODE,2012-12,0,0,0
NODE,2013-01,0,0,0
NODE,2013-02,0,0,0
NODE,2013-03,0,0,0
NODE,2013-04,0,0,0
NODE,2013-05,0,0,0
NODE,2013-06,0,0,0
NODE,2013-07,0,0,0
NODE,2013-08,0,0,0
NODE,2013-09,0,0,0
NODE,2013-10,0,0,0
NODE,2013-11,0,0,0
NODE,2013-12,1,0,0
NODE,2014-01,0,0,0
NODE,2014-02,0,0,0
NODE,2014-03,0,0,0
NODE,2014-04,0,0,0
NODE,2014-05,0,0,0
NODE,2014-06,0,0,0
NODE,2014-07,0,0,0
NODE,2014-08,0,0,0
NODE,2014-09,0,0,0
NODE,2014-10,0,0,0
NODE,2014-11,0,0,0
NODE,2014-12,0,0,0
NODE,2015-01,0,0,0
NODE,2015-02,0,0,0
NODE,2015-03,0,0,0
NODE,2015-04,0,0,0
NODE,2015-05,0,0,0
NODE,2015-06,0,0,0
NODE,2015-07,0,0,0
NODE,2015-08,0,0,0
NODE,2015-09,0,0,0
NODE,2015-10,0,0,0
NODE,2015-11,0,0,0
NODE,2015-12,1,0,0
NODE,2016-01,0,0,0
NODE,2016-02,0,0,0
NODE,2016-03,0,0,0
NODE,2016-04,0,0,0
NODE,2016-05,0,0,0
NODE,2016-06,0,0,0
NODE,2016-07,0,0,0
NODE,2016-08,1,0,0
NODE,2016-09,0,0,0
NODE,2016-10,0,0,0
NODE,2016-11,0,58,3876
NODE,2016-12,1,58,3876
NODE,2017-01,0,58,3876
NODE,2017-02,0,0,0
NODE,2017-03,2,58,3876
NODE,2017-04,0,0,0
NODE,2017-05,0,58,3876
NODE,2017-06,1,0,0
NODE,2017-07,0,0,0
NODE,2017-08,1,58,3876
NODE,2017-09,0,0,0
NODE,2017-10,1,70,5841
NODE,2017-11,0,70,5841
NODE,2017-12,0,64,5080
NODE,2018-01,0,0,0
NODE,2018-02,0,64,5080
NODE,2018-03,0,64,5080
NODE,2018-04,1,0,0
NODE,2018-05,0,0,0
NODE,2018-06,0,64,5193
NODE,2018-07,1,64,5193
NODE,2018-08,0,64,5193
NODE,2018-09,0,0,0
NODE,2018-10,0,0,0
NODE,2018-11,0,64,5193
NODE,2018-12,0,0,0
NODE,2019-01,1,0,0
NODE,2019-02,0,66,5400
NODE,2019-03,0,66,5400
NODE,2019-04,0,0,0
NODE,2019-05,2,66,5400
NODE,2019-06,0,66,5400
NODE,2019-07,0,66,5400
NODE,2019-08,0,82,8700
NODE,2019-09,0,82,8700
NODE,2019-10,0,90,9697
NODE,2019-11,1,90,9697
NODE,2019-12,1,90,9697
NODE,2020-01,0,90,9697
NODE,2020-02,0,102,10861
NODE,2020-03,0,102,10861
NODE,2020-04,0,178,18561
NODE,2020-05,2,158,16517
NODE,2020-06,1,162,16682
NODE,2020-07,0,172,17467
NODE,2020-08,0,172,17467
NODE,2020-09,0,172,17467
NODE,2020-10,0,172,17467
NODE,2020-11,2,172,17467
NODE,2020-12,1,172,17467
NODE,2021-01,1,172,17467
NODE,2021-02,0,172,17467
NODE,2021-03,1,172,17467
NODE,2021-04,1,174,18062
NODE,2021-05,0,174,18062
NODE,2021-06,0,200,25707
NODE,2021-07,1,202,30677
NODE,2021-08,1,202,30677
NODE,2021-09,0,202,30677
NODE,2021-10,0,202,30677
NODE,2021-11,0,206,31849
NODE,2021-12,0,206,31849
NODE,2022-01,0,206,31849
NODE,2022-02,1,224,34296
NODE,2022-03,0,234,35825
NODE,2022-04,0,258,40925
NODE,2022-05,0,260,40861
NODE,2022-06,0,262,41110
NODE,2022-07,0,262,41110
NODE,2022-08,0,264,41386
NODE,2022-09,0,264,41386
NODE,2022-10,0,264,41386
NODE,2022-11,0,264,41386
NODE,2022-12,0,264,41386
NODE,2023-01,0,264,41386
NODE,2023-02,0,264,41386
NODE,2023-03,0,264,41386
NODE,2023-04,0,264,41386
NODE,2023-05,0,264,41386
NODE,2023-06,0,264,41386
NODE,2023-07,1,264,41386
NODE,2023-08,0,264,41386
NODE,2023-09,0,264,41386
NODE,2023-10,0,264,41386
NODE,2023-11,0,264,41386
NODE,2023-12,0,264,41386
NODE,2024-01,0,264,41386
NODE,2024-02,0,264,41386
NODE,2024-03,0,276,42206
NODE,2024-04,0,276,42206
NODE,2024-05,0,276,42206
NODE,2024-06,0,276,42206
NODE,2024-07,0,298,53110
NODE,2024-08,0,298,53110
NODE,2024-09,0,298,53128
NODE,2024-10,0,298,53070
NODE,2024-11,0,298,53070
NODE,2024-12,0,298,53070
NODE,2025-01,0,298,53070
NODE,2025-02,0,298,53070
NODE,2025-03,0,300,53275
NODE,2025-04,0,312,55071
NODE,2025-05,0,312,55071
NODE,2025-06,0,312,55071
NODE,2025-07,0,312,55071
NODE,2025-08,0,314,55389
NODE,2025-09,0,380,63059
NODE,2025-10,0,380,63059
NODE,2025-11,0,380,63059
NODE,2025-12,0,380,63059
NODE,2026-01,0,380,63059
NODE,2026-02,0,380,63059
NODE,2026-03,0,380,63059
PERL,2009-07,0,0,0
PERL,2009-08,0,0,0
PERL,2009-09,0,0,0
PERL,2009-10,0,0,0
PERL,2009-11,0,0,0
PERL,2009-12,0,0,0
PERL,2010-01,0,0,0
PERL,2010-02,0,0,0
PERL,2010-03,0,0,0
PERL,2010-04,0,0,0
PERL,2010-05,0,0,0
PERL,2010-06,0,0,0
PERL,2010-07,0,0,0
PERL,2010-08,0,0,0
PERL,2010-09,0,0,0
PERL,2010-10,0,0,0
PERL,2010-11,0,0,0
PERL,2010-12,0,0,0
PERL,2011-01,0,0,0
PERL,2011-02,0,0,0
PERL,2011-03,0,0,0
PERL,2011-04,0,0,0
PERL,2011-05,0,0,0
PERL,2011-06,0,0,0
PERL,2011-07,0,0,0
PERL,2011-08,0,0,0
PERL,2011-09,0,0,0
PERL,2011-10,0,0,0
PERL,2011-11,0,0,0
PERL,2011-12,0,0,0
PERL,2012-01,0,0,0
PERL,2012-02,0,0,0
PERL,2012-03,0,0,0
PERL,2012-04,0,0,0
PERL,2012-05,0,0,0
PERL,2012-06,0,0,0
PERL,2012-07,0,0,0
PERL,2012-08,0,0,0
PERL,2012-09,0,0,0
PERL,2012-10,0,0,0
PERL,2012-11,0,0,0
PERL,2012-12,0,0,0
PERL,2013-01,0,0,0
PERL,2013-02,0,0,0
PERL,2013-03,0,0,0
PERL,2013-04,0,0,0
PERL,2013-05,0,0,0
PERL,2013-06,0,0,0
PERL,2013-07,0,0,0
PERL,2013-08,0,0,0
PERL,2013-09,0,0,0
PERL,2013-10,0,0,0
PERL,2013-11,0,0,0
PERL,2013-12,0,0,0
PERL,2014-01,0,0,0
PERL,2014-02,0,0,0
PERL,2014-03,1,0,0
PERL,2014-04,0,0,0
PERL,2014-05,0,0,0
PERL,2014-06,1,0,0
PERL,2014-07,0,0,0
PERL,2014-08,1,0,0
PERL,2014-09,0,0,0
PERL,2014-10,0,0,0
PERL,2014-11,0,0,0
PERL,2014-12,1,0,0
PERL,2015-01,1,0,0
PERL,2015-02,0,0,0
PERL,2015-03,0,28,2835
PERL,2015-04,0,28,2835
PERL,2015-05,0,28,2835
PERL,2015-06,1,28,2835
PERL,2015-07,0,28,2835
PERL,2015-08,0,28,2835
PERL,2015-09,0,28,2835
PERL,2015-10,0,28,2835
PERL,2015-11,0,28,2835
PERL,2015-12,0,28,2835
PERL,2016-01,0,28,2835
PERL,2016-02,0,28,2835
PERL,2016-03,1,28,2835
PERL,2016-04,0,28,2835
PERL,2016-05,0,28,2835
PERL,2016-06,0,28,2835
PERL,2016-07,1,28,2835
PERL,2016-08,0,28,2835
PERL,2016-09,0,28,2835
PERL,2016-10,0,28,2835
PERL,2016-11,0,58,3875
PERL,2016-12,0,58,3875
PERL,2017-01,0,58,3875
PERL,2017-02,0,58,3875
PERL,2017-03,0,58,3875
PERL,2017-04,0,58,3875
PERL,2017-05,0,66,4987
PERL,2017-06,0,66,4987
PERL,2017-07,0,66,4987
PERL,2017-08,0,66,4987
PERL,2017-09,0,66,4987
PERL,2017-10,0,66,4987
PERL,2017-11,0,66,4987
PERL,2017-12,0,66,4987
PERL,2018-01,0,74,6210
PERL,2018-02,0,74,6210
PERL,2018-03,0,74,6210
PERL,2018-04,0,74,6210
PERL,2018-05,0,74,6210
PERL,2018-06,0,74,6321
PERL,2018-07,0,74,6321
PERL,2018-08,0,74,6321
PERL,2018-09,1,74,6321
PERL,2018-10,0,74,6321
PERL,2018-11,0,74,6321
PERL,2018-12,0,76,6532
PERL,2019-01,0,76,6522
PERL,2019-02,0,152,13097
PERL,2019-03,0,154,13513
PERL,2019-04,0,154,13513
PERL,2019-05,0,154,13513
PERL,2019-06,0,154,13513
PERL,2019-07,1,156,13839
PERL,2019-08,0,158,14348
PERL,2019-09,1,158,14348
PERL,2019-10,0,158,14348
PERL,2019-11,0,80,8528
PERL,2019-12,0,80,8528
PERL,2020-01,0,80,8528
PERL,2020-02,0,80,8528
PERL,2020-03,0,80,8528
PHPLIB,2014-12,0,0,0
PHPLIB,2015-01,0,0,0
PHPLIB,2015-02,0,0,0
PHPLIB,2015-03,0,0,0
PHPLIB,2015-04,4,0,0
PHPLIB,2015-05,2,0,0
PHPLIB,2015-06,0,0,0
PHPLIB,2015-07,0,0,0
PHPLIB,2015-08,0,0,0
PHPLIB,2015-09,0,0,0
PHPLIB,2015-10,0,0,0
PHPLIB,2015-11,0,0,0
PHPLIB,2015-12,1,0,0
PHPLIB,2016-01,0,0,0
PHPLIB,2016-02,2,0,0
PHPLIB,2016-03,0,0,0
PHPLIB,2016-04,0,0,0
PHPLIB,2016-05,0,0,0
PHPLIB,2016-06,0,0,0
PHPLIB,2016-07,0,0,0
PHPLIB,2016-08,0,0,0
PHPLIB,2016-09,0,0,0
PHPLIB,2016-10,0,0,0
PHPLIB,2016-11,0,0,0
PHPLIB,2016-12,0,0,0
PHPLIB,2017-01,0,0,0
PHPLIB,2017-02,0,0,0
PHPLIB,2017-03,0,0,0
PHPLIB,2017-04,0,0,0
PHPLIB,2017-05,0,0,0
PHPLIB,2017-06,0,0,0
PHPLIB,2017-07,0,0,0
PHPLIB,2017-08,0,0,0
PHPLIB,2017-09,2,0,0
PHPLIB,2017-10,0,0,0
PHPLIB,2017-11,0,0,0
PHPLIB,2017-12,0,0,0
PHPLIB,2018-01,0,0,0
PHPLIB,2018-02,1,0,0
PHPLIB,2018-03,0,0,0
PHPLIB,2018-04,0,0,0
PHPLIB,2018-05,0,0,0
PHPLIB,2018-06,0,0,0
PHPLIB,2018-07,0,0,0
PHPLIB,2018-08,0,0,0
PHPLIB,2018-09,0,0,0
PHPLIB,2018-10,0,0,0
PHPLIB,2018-11,1,0,0
PHPLIB,2018-12,0,0,0
PHPLIB,2019-01,0,0,0
PHPLIB,2019-02,0,0,0
PHPLIB,2019-03,0,0,0
PHPLIB,2019-04,0,0,0
PHPLIB,2019-05,0,0,0
PHPLIB,2019-06,0,0,0
PHPLIB,2019-07,0,5,1280
PHPLIB,2019-08,0,5,1284
PHPLIB,2019-09,0,5,1284
PHPLIB,2019-10,0,5,1449
PHPLIB,2019-11,0,5,1449
PHPLIB,2019-12,0,5,1449
PHPLIB,2020-01,0,10,2245
PHPLIB,2020-02,0,16,2947
PHPLIB,2020-03,0,16,3129
