driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
CDRIVER,server-discovery-and-monitoring,2015-02,intro,37,1544,37,1544,73fd4e91
CDRIVER,server-discovery-and-monitoring,2020-05,phase,167,15193,66,8531,370fc185
CDRIVER,server-discovery-and-monitoring,2021-06,phase,306,32870,119,14705,e37552db
CDRIVER,server-selection,2015-02,intro,33,2323,33,2323,73fd4e91
CDRIVER,server-selection,2025-01,phase,73,4008,15,1679,61592503
CDRIVER,command-monitoring,2016-02,intro,9,1597,9,1597,7ff234f9
CDRIVER,max-staleness,2016-07,intro,31,2051,31,2051,14e685e8
CDRIVER,connection-string,2017-02,intro,15,2464,15,2464,deefb226
CDRIVER,auth,2017-08,intro,1,291,1,291,883636d3
CDRIVER,initial-dns-seedlist-discovery,2017-10,intro,7,88,7,88,f590582e
CDRIVER,initial-dns-seedlist-discovery,2017-11,phase,23,231,16,143,3ffee13d
CDRIVER,initial-dns-seedlist-discovery,2021-11,phase,53,592,19,219,2bd2d842
CDRIVER,retryable-writes,2017-11,intro,9,1854,9,1854,3ffee13d
CDRIVER,retryable-writes,2018-07,phase,19,4760,9,1988,5bc43d9a
CDRIVER,bson-corpus,2017-12,intro,33,5183,33,5183,a168846b
CDRIVER,read-write-concern,2018-02,intro,2,207,2,207,184f2e79
CDRIVER,transactions,2018-05,intro,17,7903,17,7903,8d1dbffe
CDRIVER,transactions,2018-06,phase,23,15008,6,7105,6268ffdf
CDRIVER,crud,2018-06,intro,2,159,2,159,6268ffdf
CDRIVER,crud,2018-07,phase,32,3731,30,3572,5bc43d9a
CDRIVER,crud,2019-03,phase,76,7981,41,3087,4ac75d8d
CDRIVER,crud,2020-03,phase,89,13250,38,5442,c899fc3d
CDRIVER,crud,2021-06,phase,101,21115,10,7192,e37552db
CDRIVER,change-streams,2018-07,intro,2,523,2,523,5bc43d9a
CDRIVER,change-streams,2020-03,phase,4,4242,2,3354,c899fc3d
CDRIVER,change-streams,2022-05,phase,9,11690,4,7224,db7e894b
CDRIVER,gridfs,2018-10,intro,4,1464,4,1464,1dd20edb
CDRIVER,transactions-convenient-api,2019-02,intro,8,3220,8,3220,b213866a
CDRIVER,uri-options,2019-06,intro,8,617,8,617,8511ba5c
CDRIVER,retryable-reads,2019-08,intro,42,18143,42,18143,cb053ecf
CDRIVER,client-side-encryption,2019-11,intro,27,9056,27,9056,25494023
CDRIVER,client-side-encryption,2022-05,phase,59,21775,28,12274,db7e894b
CDRIVER,client-side-encryption,2023-02,phase,103,60471,43,38240,c0b43912
CDRIVER,client-side-encryption,2025-10,phase,211,124440,93,58910,48d0a485
CDRIVER,sessions,2020-01,intro,1,835,1,835,d1a55356
CDRIVER,sessions,2021-07,phase,6,2638,5,1803,d8684bed
CDRIVER,unified-test-format,2020-11,intro,1,100,1,100,de2effee
CDRIVER,unified-test-format,2021-02,phase,10,4003,9,3903,43f5997e
CDRIVER,unified-test-format,2021-06,phase,16,4538,6,535,e37552db
CDRIVER,atlas-data-lake-testing,2020-12,intro,7,276,7,276,64b55f67
CDRIVER,versioned-api,2021-03,intro,6,3002,6,3002,15828e0e
CDRIVER,collection-management,2021-06,intro,1,255,1,255,e37552db
CDRIVER,load-balancers,2021-08,intro,8,3911,8,3911,52a82377
CDRIVER,index-management,2023-07,intro,6,687,6,687,f974c492
CDRIVER,command-logging-and-monitoring,2024-05,intro,1,186,1,186,77d7a9d6
CDRIVER,command-logging-and-monitoring,2025-01,phase,25,6022,24,5802,61592503
CDRIVER,client-backpressure,2026-03,intro,4,8864,4,8864,568719b6
CDRIVER,mongodb-handshake,2026-04,intro,1,101,1,101,b8925d92
CSHARP,crud,2015-03,intro,28,2883,28,2883,f8297b91
CSHARP,crud,2016-07,phase,56,5766,28,2883,faac9ba1
CSHARP,crud,2016-11,phase,116,7944,60,2178,10b3b67d
CSHARP,server-discovery-and-monitoring,2015-03,intro,74,3354,74,3354,f8297b91
CSHARP,server-discovery-and-monitoring,2016-06,phase,200,11878,100,5939,b14629fe
CSHARP,server-discovery-and-monitoring,2020-06,phase,307,25109,146,13920,21b6b068
CSHARP,server-selection,2015-03,intro,66,3130,66,3130,f8297b91
CSHARP,server-selection,2016-06,phase,132,6260,66,3130,b14629fe
CSHARP,server-selection,2026-01,phase,198,8329,70,2515,3f47046c
CSHARP,gridfs,2015-08,intro,8,2256,8,2256,81d97264
CSHARP,gridfs,2016-07,phase,16,3948,8,1974,faac9ba1
CSHARP,command-monitoring,2015-09,intro,18,2251,18,2251,e5d8f606
CSHARP,command-monitoring,2016-07,phase,36,4810,18,2405,faac9ba1
CSHARP,connection-string,2015-10,intro,18,2637,18,2637,28e3db4b
CSHARP,connection-string,2016-06,phase,36,5274,18,2637,b14629fe
CSHARP,read-write-concern,2015-10,intro,4,321,4,321,28e3db4b
CSHARP,read-write-concern,2020-03,phase,12,1748,8,1372,06700ca8
CSHARP,bson-corpus,2016-09,intro,14,7812,14,7812,e7a7e39d
CSHARP,bson-corpus,2020-05,phase,38,9047,31,5141,2c15f361
CSHARP,max-staleness,2016-09,intro,136,7038,136,7038,e7a7e39d
CSHARP,initial-dns-seedlist-discovery,2017-11,intro,92,784,92,784,3eae8f91
CSHARP,initial-dns-seedlist-discovery,2021-07,phase,80,738,30,309,a563175b
CSHARP,initial-dns-seedlist-discovery,2021-11,phase,124,1185,44,447,f4fd11d2
CSHARP,retryable-writes,2017-12,intro,18,2678,18,2678,d72beef3
CSHARP,retryable-writes,2018-04,phase,36,5356,18,2678,2f5a667f
CSHARP,retryable-writes,2018-07,phase,72,12124,32,3964,f65e52d7
CSHARP,transactions,2018-04,intro,72,23950,72,23950,2f5a667f
CSHARP,transactions,2018-06,phase,84,45542,12,18962,8eaf2f55
CSHARP,auth,2018-06,intro,4,1636,4,1636,8eaf2f55
CSHARP,auth,2024-04,phase,4,1968,2,1153,7c4216e7
CSHARP,change-streams,2018-06,intro,8,1748,8,1748,8eaf2f55
CSHARP,change-streams,2020-03,phase,8,7093,4,5575,06700ca8
CSHARP,transactions-convenient-api,2019-03,intro,18,5186,18,5186,dd6d09b1
CSHARP,retryable-reads,2019-05,intro,66,18836,66,18836,d701854d
CSHARP,uri-options,2019-08,intro,16,1126,16,1126,75b3ae8c
CSHARP,client-side-encryption,2019-09,intro,68,24441,68,24441,7df218e4
CSHARP,client-side-encryption,2023-01,phase,232,117308,93,59351,5d1353dc
CSHARP,connection-monitoring-and-pooling,2019-10,intro,38,1592,38,1592,49d23aea
CSHARP,sessions,2019-11,intro,2,793,2,793,79faa5fc
CSHARP,sessions,2021-07,phase,12,4014,8,2697,a563175b
CSHARP,unified-test-format,2020-12,intro,32,6094,32,6094,4e2a5df6
CSHARP,unified-test-format,2021-08,phase,56,7370,20,1146,ab4b3671
CSHARP,versioned-api,2021-03,intro,12,4166,12,4166,83536067
CSHARP,collection-management,2021-07,intro,2,384,2,384,a563175b
CSHARP,load-balancers,2021-07,intro,16,5599,16,5599,a563175b
CSHARP,atlas-data-lake-testing,2022-10,intro,14,437,14,437,cdfbab2c
CSHARP,command-logging-and-monitoring,2022-10,intro,44,7843,44,7843,cdfbab2c
CSHARP,index-management,2023-07,intro,10,909,10,909,628577e2
CSHARP,client-side-operations-timeout,2025-08,intro,32,55511,32,55511,c4cc63bf
CSHARP,open-telemetry,2026-02,intro,44,6181,44,6181,6546899e
CSHARP,client-backpressure,2026-04,intro,8,11327,8,11327,d1a74877
CXX,crud,2017-01,intro,64,4964,64,4964,54203766
CXX,crud,2020-07,phase,143,16781,43,6212,0b86224c
CXX,crud,2022-06,phase,109,23901,18,9602,43c93631
CXX,gridfs,2017-03,intro,8,1957,8,1957,3c79987e
CXX,gridfs,2019-10,phase,16,4779,8,2794,50627c99
CXX,change-streams,2018-08,intro,4,874,4,874,8cc6a6e6
CXX,change-streams,2020-06,phase,8,7091,4,5573,5efb920e
CXX,change-streams,2022-08,phase,5,7346,1,3015,f1f3f50e
CXX,command-monitoring,2018-08,intro,20,2467,20,2467,8cc6a6e6
CXX,transactions,2018-09,intro,44,23959,44,23959,8396159d
CXX,transactions,2019-10,phase,56,38028,12,13022,50627c99
CXX,retryable-reads,2019-10,intro,84,22602,84,22602,50627c99
CXX,client-side-encryption,2019-12,intro,58,13826,58,13826,7fa93d7b
CXX,client-side-encryption,2020-07,phase,66,22489,10,10628,0b86224c
CXX,client-side-encryption,2022-03,phase,44,31290,6,11337,ea0e0396
CXX,client-side-encryption,2023-04,phase,128,87019,50,37946,52a1150d
CXX,transactions-convenient-api,2020-02,intro,18,5687,18,5687,a020ab64
CXX,read-write-concern,2020-07,intro,8,1372,8,1372,0b86224c
CXX,atlas-data-lake-testing,2020-11,intro,7,276,7,276,33742aef
CXX,unified-test-format,2021-04,intro,10,4001,10,4001,85d6c4a1
CXX,unified-test-format,2022-08,phase,19,6087,7,692,f1f3f50e
CXX,versioned-api,2021-05,intro,6,2820,6,2820,c585e14f
CXX,sessions,2021-11,intro,8,2718,8,2718,b858c5e1
CXX,collection-management,2022-05,intro,1,255,1,255,1afd5102
CXX,initial-dns-seedlist-discovery,2023-02,intro,19,219,19,219,e3bd7001
CXX,uri-options,2023-02,intro,1,116,1,116,e3bd7001
CXX,retryable-writes,2023-03,intro,3,2175,3,2175,46b86f47
CXX,index-management,2023-07,intro,5,600,5,600,6a1716e7
GODRIVER,bson-corpus,2017-10,intro,31,5125,31,5125,3e9a111f
GODRIVER,connection-string,2017-10,intro,16,2595,16,2595,3e9a111f
GODRIVER,max-staleness,2017-10,intro,70,3461,70,3461,3e9a111f
GODRIVER,server-discovery-and-monitoring,2017-10,intro,138,9163,138,9163,3e9a111f
GODRIVER,server-discovery-and-monitoring,2020-06,phase,314,24806,132,13115,09ccd6fc
GODRIVER,server-selection,2017-10,intro,80,2483,80,2483,3e9a111f
GODRIVER,initial-dns-seedlist-discovery,2017-11,intro,46,392,46,392,b3a8ba65
GODRIVER,initial-dns-seedlist-discovery,2021-10,phase,104,1001,42,446,34dde800
GODRIVER,crud,2018-02,intro,64,5198,64,5198,d0ed0270
GODRIVER,crud,2021-06,phase,202,31132,28,12642,5199a0b7
GODRIVER,read-write-concern,2018-02,intro,4,324,4,324,d0ed0270
GODRIVER,read-write-concern,2020-02,phase,12,1747,8,1372,6f3c9d10
GODRIVER,auth,2018-06,intro,1,434,1,434,78fbc245
GODRIVER,command-monitoring,2018-07,intro,20,2467,20,2467,ad3c80fa
GODRIVER,command-monitoring,2023-01,phase,44,8360,18,4114,599b80ac
GODRIVER,gridfs,2018-08,intro,8,2084,8,2084,beaed0b2
GODRIVER,gridfs,2022-11,phase,10,3453,2,1369,977993fa
GODRIVER,retryable-writes,2018-08,intro,36,6062,36,6062,beaed0b2
GODRIVER,transactions,2018-08,intro,42,22771,42,22771,beaed0b2
GODRIVER,change-streams,2018-11,intro,2,523,2,523,a29da95d
GODRIVER,change-streams,2020-03,phase,8,7119,4,5572,a2fd8774
GODRIVER,sessions,2019-07,intro,2,795,2,795,58da8e60
GODRIVER,sessions,2021-07,phase,12,4014,10,2739,57125a02
GODRIVER,uri-options,2019-07,intro,16,1126,16,1126,58da8e60
GODRIVER,client-side-encryption,2019-08,intro,58,13802,58,13802,dc939a31
GODRIVER,client-side-encryption,2022-05,phase,102,24372,34,9983,f98d6aa2
GODRIVER,client-side-encryption,2022-12,phase,184,66292,60,34636,e1bf8858
GODRIVER,connection-monitoring-and-pooling,2019-08,intro,38,1562,38,1562,dc939a31
GODRIVER,retryable-reads,2019-08,intro,84,22739,84,22739,dc939a31
GODRIVER,atlas-data-lake-testing,2020-07,intro,14,429,14,429,a8b8f62c
GODRIVER,unified-test-format,2020-10,intro,20,5851,20,5851,07bbc23e
GODRIVER,unified-test-format,2021-04,phase,32,6669,12,818,3fd62610
GODRIVER,unified-test-format,2021-05,phase,60,7503,28,834,7450663b
GODRIVER,versioned-api,2021-01,intro,12,3875,12,3875,54681e1a
GODRIVER,load-balancers,2021-04,intro,16,5599,16,5599,3fd62610
GODRIVER,collection-management,2021-06,intro,2,384,2,384,5199a0b7
GODRIVER,collection-management,2022-05,phase,8,1119,6,735,f98d6aa2
GODRIVER,client-side-operations-timeout,2022-04,intro,8,26951,8,26951,4b8024ed
GODRIVER,client-side-operations-timeout,2022-08,phase,14,16301,6,1311,f301e5d7
GODRIVER,client-side-operations-timeout,2022-09,phase,18,29181,4,12880,b18931bf
GODRIVER,run-command,2023-07,intro,4,2222,4,2222,4acd5513
GODRIVER,index-management,2023-09,intro,10,920,10,920,cd3c6996
JAVA,server-discovery-and-monitoring,2015-01,intro,37,1544,37,1544,77b7974d
JAVA,server-discovery-and-monitoring,2020-05,phase,162,14604,73,8987,a1b912fa
JAVA,crud,2015-03,intro,14,1987,14,1987,13ff30f6
JAVA,crud,2016-11,phase,29,2738,15,751,ca2f1979
JAVA,crud,2020-04,phase,88,13152,38,5268,14a3e5f5
JAVA,server-selection,2015-03,intro,33,1309,33,1309,13ff30f6
JAVA,server-selection,2016-07,phase,61,2801,28,1492,809b2085
JAVA,bson-corpus,2015-06,intro,5,323,5,323,db3b40f5
JAVA,bson-corpus,2016-07,phase,12,4223,7,3900,809b2085
JAVA,bson-corpus,2016-10,phase,28,4761,16,538,70bf1146
JAVA,connection-string,2015-08,intro,7,1336,7,1336,d9edfab0
JAVA,gridfs,2015-08,intro,4,1618,4,1618,d9edfab0
JAVA,command-monitoring,2015-09,intro,9,1505,9,1505,37f50414
JAVA,initial-dns-seedlist-discovery,2017-11,intro,23,231,23,231,17a80a2f
JAVA,initial-dns-seedlist-discovery,2021-10,phase,54,608,21,242,53b0ff15
JAVA,retryable-writes,2017-11,intro,9,1854,9,1854,17a80a2f
JAVA,retryable-writes,2018-06,phase,18,4115,9,2261,166a5a6c
JAVA,auth,2018-04,intro,1,452,1,452,6d08459f
JAVA,transactions,2018-04,intro,18,7504,18,7504,6d08459f
JAVA,transactions,2018-06,phase,21,14178,3,5740,166a5a6c
JAVA,change-streams,2018-06,intro,2,523,2,523,166a5a6c
JAVA,change-streams,2020-04,phase,4,4242,2,3315,14a3e5f5
JAVA,change-streams,2022-04,phase,5,7323,0,2857,1ffcc02f
JAVA,uri-options,2019-01,intro,8,491,8,491,305d3e5f
JAVA,connection-monitoring-and-pooling,2019-02,intro,19,986,19,986,3b25779e
JAVA,transactions-convenient-api,2019-02,intro,9,3433,9,3433,3b25779e
JAVA,retryable-reads,2019-04,intro,39,17519,39,17519,9c77d176
JAVA,client-side-encryption,2019-06,intro,29,10582,29,10582,2a3fea5d
JAVA,client-side-encryption,2022-05,phase,63,23799,30,12541,9fcdefd4
JAVA,client-side-encryption,2023-01,phase,106,62303,43,38273,d5fb38f9
JAVA,sessions,2019-11,intro,1,835,1,835,8f866e22
JAVA,sessions,2021-07,phase,6,2638,4,1786,7206b710
JAVA,unified-test-format,2020-11,intro,10,4000,10,4000,0eac1f09
JAVA,unified-test-format,2021-02,phase,18,4230,8,230,927e50d5
JAVA,versioned-api,2021-01,intro,6,2640,6,2640,9f90aa8a
JAVA,load-balancers,2021-05,intro,8,3911,8,3911,4e484b0d
JAVA,collection-management,2021-06,intro,1,255,1,255,f253f90b
JAVA,command-logging-and-monitoring,2023-01,intro,10,2773,10,2773,d5fb38f9
JAVA,index-management,2023-07,intro,5,604,5,604,46903fb1
JAVA,client-side-operations-timeout,2024-07,intro,27,40188,27,40188,cc90a512
NODE,command-monitoring,2015-08,intro,18,2232,18,2232,c5b04d23
NODE,connection-string,2015-10,intro,14,2388,14,2388,2876b1b3
NODE,connection-string,2019-08,phase,32,5259,16,2649,b542d348
NODE,crud,2016-11,intro,58,3973,58,3973,3a887097
NODE,crud,2017-10,phase,70,6012,12,2039,903eb00d
NODE,crud,2019-08,phase,82,8911,16,3383,b542d348
NODE,crud,2020-04,phase,178,19058,76,7948,3ae3e919
NODE,max-staleness,2017-04,intro,70,3461,70,3461,a0f2fef6
NODE,server-selection,2017-04,intro,80,2518,80,2518,a0f2fef6
NODE,server-selection,2024-01,phase,150,6811,14,2631,9401d09a
NODE,gridfs,2017-12,intro,2,955,2,955,9c0d883a
NODE,gridfs,2024-07,phase,10,3453,8,2498,54efb7d4
NODE,gridfs,2025-10,phase,16,4229,6,776,517da849
NODE,initial-dns-seedlist-discovery,2017-12,intro,46,392,46,392,9c0d883a
NODE,initial-dns-seedlist-discovery,2019-08,phase,94,813,46,392,b542d348
NODE,initial-dns-seedlist-discovery,2021-11,phase,108,1066,44,460,b9fbac5b
NODE,retryable-writes,2017-12,intro,18,2678,18,2678,9c0d883a
NODE,retryable-writes,2018-06,phase,36,6062,16,2099,955c7ab6
